source_id,series_id,region,date,value,unit,retrieved_at,licence_id
worldbank_pink_sheet,COFFEE_ARABIC,global,1963-06-01,0.8,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1963-07-01,0.81,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1963-08-01,0.8,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1963-09-01,0.8,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1963-10-01,0.8,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1963-11-01,0.81,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1963-12-01,0.8,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1964-01-01,0.93,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1964-02-01,0.94,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1964-03-01,1.04,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1964-04-01,1.0,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1964-05-01,1.02,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1964-06-01,1.01,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1964-07-01,1.02,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1964-08-01,1.05,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1964-09-01,1.04,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1964-10-01,1.04,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1964-11-01,1.03,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1964-12-01,1.01,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1965-01-01,1.01,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1965-02-01,1.04,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1965-03-01,0.99,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1965-04-01,0.97,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1965-05-01,0.96,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1965-06-01,0.98,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1965-07-01,0.98,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1965-08-01,1.0,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1965-09-01,1.0,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1965-10-01,1.01,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1965-11-01,1.03,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1965-12-01,1.03,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1966-01-01,1.01,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1966-02-01,0.97,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1966-03-01,0.95,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1966-04-01,0.95,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1966-05-01,0.95,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1966-06-01,0.92,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1966-07-01,0.92,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1966-08-01,0.92,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1966-09-01,0.9,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
